timestamp,fish_id,x_coordinate,y_coordinate
1765305150.4291983,7,669,541
1765305150.4291983,10,327,200
1765305150.4291983,12,378,332
1765305150.4291983,16,1051,667
1765305150.4291983,9,644,578
1765305150.4291983,19,386,343
1765305150.4291983,17,334,325
1765305150.4963398,1,502,378
1765305150.4963398,6,331,283
1765305150.4963398,4,375,482
1765305150.4963398,3,351,391
1765305150.4963398,5,386,199
1765305150.4963398,2,273,426
1765305150.4963398,12,383,338
1765305150.4963398,8,253,507
1765305150.4963398,7,670,541
1765305150.4963398,10,327,200
1765305150.4963398,9,644,579
1765305150.4963398,14,402,238
1765305150.4963398,17,332,325
1765305150.4963398,16,1051,668
1765305150.580395,1,504,379
1765305150.580395,4,374,483
1765305150.580395,6,333,282
1765305150.580395,5,385,199
1765305150.580395,2,273,427
1765305150.580395,3,350,388
1765305150.580395,8,253,507
1765305150.580395,12,385,339
1765305150.580395,10,327,199
1765305150.580395,7,669,541
1765305150.580395,9,644,578
1765305150.580395,17,331,324
1765305150.580395,16,1051,669
1765305150.580395,14,402,239
1765305150.6571224,1,507,379
1765305150.6571224,4,374,483
1765305150.6571224,5,386,198
1765305150.6571224,2,272,427
1765305150.6571224,3,350,385
1765305150.6571224,12,386,344
1765305150.6571224,6,334,284
1765305150.6571224,7,670,541
1765305150.6571224,10,327,200
1765305150.6571224,8,254,508
1765305150.6571224,17,330,323
1765305150.6571224,9,644,578
1765305150.6571224,21,362,379
1765305150.6571224,16,1051,668
1765305150.8114412,1,508,380
1765305150.8114412,4,373,483
1765305150.8114412,5,389,198
1765305150.8114412,2,271,428
1765305150.8114412,3,347,384
1765305150.8114412,7,671,541
1765305150.8114412,10,327,201
1765305150.8114412,12,387,345
1765305150.8114412,17,330,323
1765305150.8114412,8,254,511
1765305150.8114412,6,334,287
1765305150.8114412,9,644,578
1765305150.8114412,21,360,381
1765305150.8114412,16,1051,669
1765305150.8787837,1,510,380
1765305150.8787837,4,373,483
1765305150.8787837,5,388,198
1765305150.8787837,2,270,429
1765305150.8787837,3,345,382
1765305150.8787837,7,671,540
1765305150.8787837,10,327,201
1765305150.8787837,12,388,347
1765305150.8787837,17,330,322
1765305150.8787837,6,332,286
1765305150.8787837,9,644,578
1765305150.8787837,8,254,511
1765305150.8787837,21,364,380
1765305150.8787837,22,369,375
1765305150.8787837,16,1051,669
1765305150.9644809,1,510,381
1765305150.9644809,4,372,485
1765305150.9644809,5,387,197
1765305150.9644809,2,270,430
1765305150.9644809,6,338,287
1765305150.9644809,3,346,381
1765305150.9644809,12,391,349
1765305150.9644809,7,670,540
1765305150.9644809,8,256,511
1765305150.9644809,10,326,200
1765305150.9644809,9,644,578
1765305150.9644809,17,330,321
1765305150.9644809,21,366,380
1765305150.9644809,22,369,376
1765305150.9644809,16,1052,668
1765305151.0256898,1,511,381
1765305151.0256898,4,372,485
1765305151.0256898,6,339,287
1765305151.0256898,5,390,198
1765305151.0256898,3,343,379
1765305151.0256898,2,270,431
1765305151.0256898,7,670,539
1765305151.0256898,12,394,350
1765305151.0256898,10,326,200
1765305151.0256898,8,256,511
1765305151.0256898,9,644,579
1765305151.0256898,22,376,383
1765305151.0256898,17,330,320
1765305151.0256898,21,366,376
1765305151.0256898,16,1053,669
1765305151.0865655,1,513,382
1765305151.0865655,4,371,486
1765305151.0865655,6,338,288
1765305151.0865655,3,343,379
1765305151.0865655,5,391,198
1765305151.0865655,12,395,352
1765305151.0865655,2,270,432
1765305151.0865655,7,671,539
1765305151.0865655,10,326,201
1765305151.0865655,9,644,579
1765305151.0865655,22,377,383
1765305151.0865655,8,256,511
1765305151.0865655,24,365,175
1765305151.0865655,21,366,376
1765305151.0865655,23,326,154
1765305151.0865655,16,1054,669
1765305151.0865655,17,331,320
1765305151.1482904,1,513,383
1765305151.1482904,6,336,288
1765305151.1482904,4,371,486
1765305151.1482904,3,342,376
1765305151.1482904,5,390,198
1765305151.1482904,2,270,433
1765305151.1482904,7,671,538
1765305151.1482904,10,327,200
1765305151.1482904,9,644,578
1765305151.1482904,22,378,385
1765305151.1482904,12,395,349
1765305151.1482904,8,256,512
1765305151.1482904,24,365,174
1765305151.1482904,23,326,154
1765305151.1482904,21,365,380
1765305151.1482904,16,1056,670
1765305151.1482904,17,331,321
1765305151.2053847,1,515,383
1765305151.2053847,4,370,486
1765305151.2053847,6,333,290
1765305151.2053847,3,340,373
1765305151.2053847,2,270,435
1765305151.2053847,7,671,538
1765305151.2053847,5,391,197
1765305151.2053847,22,378,388
1765305151.2053847,9,645,578
1765305151.2053847,12,398,351
1765305151.2053847,10,326,200
1765305151.2053847,24,365,174
1765305151.2053847,8,256,512
1765305151.2053847,23,326,154
1765305151.2053847,17,329,321
1765305151.2053847,16,1054,671
1765305151.2053847,21,365,381
1765305151.280965,1,516,384
1765305151.280965,4,369,486
1765305151.280965,6,333,291
1765305151.280965,2,270,436
1765305151.280965,7,671,537
1765305151.280965,3,341,370
1765305151.280965,5,387,198
1765305151.280965,22,382,392
1765305151.280965,9,645,578
1765305151.280965,10,326,199
